spc_latin,latitude,longitude,tree_dbh
Platanus x acerifolia,40.72938192,-73.97765121,23
Gymnocladus dioicus,40.7276644,-73.98348805,24
Pyrus calleryana,40.72811841,-73.9809009,22
Platanus x acerifolia,40.73404027,-73.97785449,23
Platanus x acerifolia,40.73408678,-73.97796375,21
Platanus x acerifolia,40.73447154,-73.97885245,21
Platanus x acerifolia,40.73456651,-73.97907616,21
Catalpa,40.72496894,-73.9829137,21
Platanus x acerifolia,40.72589892,-73.980693,30
Fagus grandifolia,40.72515144,-73.98334627,1
Quercus palustris,40.72315466,-73.98399688,21
Ulmus americana,40.72765006,-73.98191681,26
Platanus x acerifolia,40.72731322,-73.98111941,30
Ulmus americana,40.72538278,-73.98106755,27
Gleditsia triacanthos var. inermis,40.72505906,-73.9831273,24
Styphnolobium japonicum,40.72450476,-73.98342938,21
Platanus x acerifolia,40.7206565,-73.98056042,22
Platanus x acerifolia,40.7206734,-73.9804884,26
Platanus x acerifolia,40.72069534,-73.98069153,22
Platanus x acerifolia,40.72057301,-73.98025054,24
Platanus x acerifolia,40.72077102,-73.98094702,21
Gleditsia triacanthos var. inermis,40.72309139,-73.98613527,22
Styphnolobium japonicum,40.72374395,-73.9876835,1
Quercus phellos,40.72273398,-73.98605925,28
Platanus x acerifolia,40.7362297,-73.98111849,21
Quercus phellos,40.7380275,-73.98149568,199
Tilia cordata,40.73885419,-73.98886992,1
Tilia cordata,40.7434968,-74.0033489,23
Styphnolobium japonicum,40.74500263,-74.00166977,21
Platanus x acerifolia,40.74694755,-74.00436332,25
Quercus palustris,40.73077316,-73.99895148,24
Quercus palustris,40.73095625,-73.99619057,22
Quercus palustris,40.73198639,-73.998287,22
Zelkova serrata,40.74549077,-73.99705509,1
Platanus x acerifolia,40.73513238,-73.99781297,21
Juglans nigra,40.73475714,-73.99665054,26
Juglans nigra,40.73461119,-73.99657141,23
Ginkgo biloba,40.73363321,-73.99792833,21
Juglans nigra,40.73517838,-73.99765387,23
Tilia americana,40.73932857,-74.0013261,25
Ulmus parvifolia,40.7423206,-74.00813581,22
Platanus x acerifolia,40.74792987,-74.00413668,22
Platanus x acerifolia,40.73553483,-73.9987563,21
Platanus x acerifolia,40.7358588,-73.99927166,21
Platanus x acerifolia,40.73594668,-73.99947991,22
Gymnocladus dioicus,40.73727442,-73.99893796,21
Styphnolobium japonicum,40.7220709,-73.99522559,21
Pyrus calleryana,40.72702501,-74.00013445,28
Ginkgo biloba,40.72507381,-74.00283134,23
Ginkgo biloba,40.725037,-74.00258672,22
Quercus palustris,40.72555932,-74.00215496,27
Platanus x acerifolia,40.72645903,-74.0021956,22
Ginkgo biloba,40.72511925,-74.00251873,22
Quercus palustris,40.72546406,-74.00223371,24
Gleditsia triacanthos var. inermis,40.7249895,-74.00352117,21
Quercus palustris,40.73131669,-74.00106021,24
Quercus palustris,40.73099131,-74.00111457,26
Platanus x acerifolia,40.72852358,-74.00258171,22
Platanus x acerifolia,40.72837955,-74.0025246,24
Prunus,40.72719375,-73.99651182,1
Gleditsia triacanthos var. inermis,40.72696037,-73.99957508,21
Platanus x acerifolia,40.72678834,-73.99180074,22
Platanus x acerifolia,40.72066082,-74.00781689,22
Platanus x acerifolia,40.72052092,-74.0067646,25
Platanus x acerifolia,40.72067496,-74.00794214,25
Platanus x acerifolia,40.72054456,-74.00695616,28
